"Titel";"ISBN";"Verfasser";"PPN";"Jahr" 
"Psychische und körperliche Belastung bei Lehrkräften";"392772842X";"Maximilian Bickhoff";"1613322984";"2000";
"Zwischen Dyade und Triade : psychoanalytische Familienbeobachtungen zur Bedeutung des Vaters im Triangulierungsprozeß";"3892956979";"Hans-Geert Metzger";"318503441";"2000";
"Wurzeln und Flügel : Religion und Glaube für Kinder; Praxismodelle und Ansätze in der gemeindlichen Arbeit mit Kindern";"3930826607";"Birgit Gruebner; Ingeborg Kleen (Hrsg.)";"1613324790";"2000";
"Demokratie in Deutschland";"9783507108097";"Joachim Detjen";"315349263";"2000";
"50 bildnerische Techniken : ein Arbeitsbuch für Kindergarten, Hort und Grundschule";"3407558414";"Christiane Krempien. Hrsg. von Peter Thiesen";"071132902";"2000";
"Mit Phantasie und Spaß : praktische Anregungen für eine motivierende politische Bildungsarbeit";"3930830191";"Hrsg.: Paulo Freire Gesellschaft. [Übers., Auswahl und Übertr.: Trudi Schulze-Vogel]";"318290391";"2000";
"Komm - wir bauen einen Turm : Erfahrungen im Umgang mit geistig und körperlich behinderten Kindern und Jugendlichen";"3-8301-0075-2";"Ruth Schäfer";"1613343213";"2000";
"Histoire constitutionnelle de la France depuis 1789";"2717840516";"Michel de Guillenchmidt";"339625430";"2000";
"Spécial café-théâtre. - 2. Fin de siècle";"";"Catherine Blanchard";"1157518397";"2000";
"Französische Grammatik : Pronomen, Satzarten ; Erklärungen-Beispiele-Übungen";"3786324190";"Dieter Menath";"313340226";"2000";
"Afrikanische Rhythmen und Lieder - ein Bildungsangebot für "Senioren"?";"";"Renate Donaubuaer";"1157528074";"2000";
"Professionelle Vermittlung von Internetkompetenz als Zukunftsaufgabe der Medienpädagogik";"";"Peter Merbach";"1157544010";"2000";
"Kinderfernsehsendungen im Unterrichtsalltag der Grundschule";"";"Annette Höschele-Fischer";"1157544169";"2000";
"Betreuung, Anwerbung und Pflege von Kunden : ein Projekt im Rahmen von Telefonmarketing; eine Fallstudie";"";"Klaus-Dieter Osswald";"1157546412";"2000";
"Kooperation Hochschule und Wirtschaft unter der besonderen Berücksichtigung der Rekrutierung von Führungsnachwuchs : Entwurf einer zielgruppenorientierten Personalmarketingstrategie bei Gödecke/Parke-Davis";"";"Silke Übele";"1157547583";"2000";
"Organisationseffektivität und Mitarbeiterzufriedenheit : Gruppen und Zusammenarbeit in Organisationen";"";"Carolin Faller";"1157566707";"2000";
"Zum Prozeß des Älterwerdens : Förderungsmöglichkeiten mit der Feldenkraismethode";"";"Andrea Fleischauer";"115757002X";"2000";
"Research on effective models for teacher education";"0761976159";"editors, D. John McIntyre, David M. Byrd";"1613461119";"2000";
"Guatemala - interkulturelle Bildung in einer ethnisch gespaltenen Gesellschaft";"3893258469";"Meike Heckt";"316861707";"2000";
"¬Ein¬ Jahrtausend Partnerschaft und Konflikt : Bausteine zur Geschichte der Deutschen und ihrer Nachbarn in den ehemals deutschen Siedlungsgebieten im östlichen Europa; Handreichung für den Geschichtsunterricht am Gymnasium. - 2. Deutsche und Polen : 1918 - 1945/46";"3403034690";"";"1157580874";"2000";
"Fundraising für Freizeitheime : Grundlagen für handelnde Fundraising-Didaktik und Freizeitpädagogik in den Jugendtreffs";"3-86137-940-6";"Siegmund Pisarczyk";"1157582206";"2000";
"Snap! : Unterrichtswerk für Hauptschulen und Schulen mit Bildungsgängen, die zum Hauptschulabschluss führen. - 4, Begleitbuch. Begleitbuch für den Unterricht, Kontrollaufgaben";"3125850436";"";"1157583032";"2000";
"Vulkane : feuerspeiende Berge, Erdbeben, Geysire";"3-8067-4435-1";"Text von Susanna VanRose. [Fotogr. Spezialeffekte: James Stevenson. Aus dem Engl. übers. und bearb. von Margot Wilhelmi.]";"1613477562";"2000";
"Interkulturalität und Sprache im betrieblichen Kontext : erste Erkundungen";"";"Antina Endres";"1157596924";"2000";
"Dreizehn deutsche Geschichten : erzähltes Leben aus Ost und West";"3896843222";"hrsg. von Winfried Ripp und Wendelin Szalai";"621079170";"2000";
"¬Das¬ große Buch der Lieder und Songs";"3446198253";"hrsg. und mit Bildern versehen von Reinhard Michl";"320269256";"2000";
"Ghana : eine geographische Sachanalyse mit didaktischen Überlegungen zur Lehrplaneinheit "Ein Land unter der Lupe" im Geographieunterricht der Realschule";"";"Nicole Sittig";"1157669867";"2000";
"Wege in die Astronomie : Erprobung von Unterrichtsthemen für die Schule (S1-Stufe)";"";"Johannes Zäpfel";"1157670423";"2000";
"Lyrik zum Anfassen : Produktionsorientierter Umgang mit Gedichten in der Sekundarstufe 1. Unterrichtskonzepte.Materialien";"3893588159";"Sonja Hoffmann";"324450249";"2000";
"Freiburger Skulpturenführer für Kinder : Lerngänge für Schülerinnen und Schüler der Realschule";"";"Oliver Dieskau";"1157695582";"2000";
"Writing across languages";"1567504787";"ed. by Gerd Bräuer";"1613631928";"2000";
"¬The¬ day Britain died : [the subject of a major BBC TV series]";"1861972237";"Andrew Marr";"306828545";"2000";
"Soziale Interaktion beim Einsatz von Computern im Unterricht";"";"Roland Brodscholl";"1157726496";"2000";
"Dictionnaire de pédagogie";"2047293537";"Louis Arénilla ...";"1613663021";"2000";
"Familienplanung und Lebensläufe von Frauen : Kontinuitäten und Wandel ; Dokumentation des Symposiums "Familienplanung und Lebensläufe von Frauen - Kontinuitäten und Wandel" in Freiburg im Breisgau, 27. - 29.2.2000";"3933191483";"veranst. von der Bundeszentrale für Gesundheitliche Aufklärung. [Hrsg.: Bundeszentrale für Gesundheitliche Aufklärung (BZgA) - Abteilung Sexualaufklärung, Verhütung und Familienplanung]";"320336867";"2000";
"Taschenbücher aus dem Gesamtwerk. - 749. ¬Der¬ pädagogische Wert der Menschenerkenntnis und der Kulturwert der Pädagogik : zehn Vorträge, gehalten in Oosterbeek-Arnheim/Holland vom 17. bis 24. Juli1924";"3727474904";"Rudolf Steiner";"1157746977";"2000";
"Skills for business English. - 1, Teacher's guide.";"190078341X";"";"1157751008";"2000";
"Protestantismus im 21. Jahrhundert : zum Verhältnis von Protestantismus und Kultur";"3785908105";"hrsg. von Eckhart von Vietinghoff und Hans May";"319445054";"2000";
"Expression écrite et culture générale : s'entraîner à l'écrit. - livret enseignant. Résumé, commentaire, composé, synthèse";"2713520207";"Patrick Doigneaux ; Mireille Rigodon";"1157789641";"2000";
" Öffentlichkeitsarbeit : Pressearbeit, Marketingkommunikation und Sponsoring für Verbände";"3924407657";"Bundesvereinigung Kulturelle Jugendbildung e.V. (Hrsg.). Mit Beitr. von: Mario Nantscheff; Eva-Maria Oehrens; Wolfgang Orians. [Red.: Brigitte Schorn]";"322860598";"2000";
"¬Das¬ Grammatikheft : Deutsch als Fremdsprache für Jugendliche und Erwachsene";"3126752713";"Anne Vorderwülbecke";"326688978";"2000";
"Carven - Buckelpiste, Tiefschnee";"3405159598";"Jürgen Kemmler";"318509016";"2000";
"Ciel! Mon mari est muté en Alsace ... : petit manuel de comportement à l'usage des nouveaux arrivants pour leur éviter impairs et déconvenues";"2716505128";"Laurence Winter. Ill. de Yann Wehrling";"480734933";"2000";
"Comptines pour ne pas zozoter";"2203182318";"Texte de Pierre Coran. Illustrations de Gabriel Lefebvre";"1613770065";"2000";
"Comptines pour que les consonnes sonnent";"2203182334";"Texte de Pierre Coran. Illustrations de Gabriel Lefebvre";"1613770138";"2000";
"Comptines pour que les voyelles s'emmêlent";"2203182342";"Texte de Pierre Coran. Illustrations de Gabriel Lefebvre";"1613770197";"2000";
"Papier en water = Paper and water";"9080418331";"[eindred.: Arne Westerhof]";"1613781458";"2000";
"Weltgeschichte der Kunst";"";"Hugh Honour; John Fleming";"1613801947";"2000";
"¬Das¬ elektrische Kochen";"3-8022-0611-8";"Hauptberatungsstelle für Elektrizitätsanwendung e.V., HEA. [Texte: HEA-Arbeitskreis "Das Elektrische Kochen". Kapitel Backen: Theresia Kaiser. Fotos: Wolfgang Usbeck. Red. Katharina Reese]";"1613804598";"2000";
"¬Die¬ Sterne von Compostela : Roman";"3451048523";"Henri Vincenot. Aus dem Franz. von Eva Zieburra";"1613835515";"2000";
"¬Die¬ Nutzung des Internets für den Deutschunterricht. - [Hauptbd.].";"";"Sandra Nägel";"1157943381";"2000";
"¬Die¬ Nutzung des Internets für den Deutschunterricht. - Anlagen.";"";"Sandra Nägel";"1157943438";"2000";
"Kindern die Messe erklärt : in Zeichen, Geschichten und Spielen";"3451270463";"Willi Hoffsümmer";"1613872453";"2000";
"London : a history";"0192853694";"Francis Sheppard";"1613886586";"2000";
"Poèmes à entendre et à créer avec les 5/6 ans";"2091205885";"Pierre Dufayet";"161392092X";"2000";
"Astronomie als fächerverbindendes Thema im Unterricht der Grundschule";"";"Ines Bender";"1158025572";"2000";
"Grundlagen eines Netzwerkmodells zu visuellen Lerndimensionen : eine Untersuchung zur Bedeutung von Bildern in zeitgemäßen (grundschul-)didaktischen Vermittlungsprozessen";"";"vorgelegt von Margot Gayer-Fleps";"1613965095";"2000";
"Didaktik und Methodik der theoretischen Informatik : Motivation und computerunterstütztes Lernen";"";"vorgelegt von Richard Grillenbeck";"320026434";"2000";
"Maße, Münzen und Gewichte in den Rechenbüchern und mathematischen Texten von Adam Ries";"3930430355";"Peter Rochhaus. [Adam-Ries-Bund e.V., Annaberg-Buchholz]";"319999521";"2000";
"Lernhilfe-Rechentraining. - Lehrerband.";"";"Birgit Schlabitz";"115804190X";"2000";
"Wohndesign und Dekoration : Techniken und Ideen Schritt für Schritt";"3831000301";"Nicholas Barnard. [Übers.: Petra Trinkaus; Susanne Bonn]";"320090418";"2000";
"¬Die¬ Spatzenelf";"3851912098";"Karl Bruckner";"318298805";"2000";
"VEN, virtual education network";"390187609X";"Johann Günther. Ed.: Donau-Universität Krems, Abteilung für Telekommunikation, Information und Medien";"1158055854";"2000";
"Bedeutsame Geometrie in der Grundschule : aus Sicht der Lehrerinnen und Lehrer, des Faches, des Bildungsauftrages und des Kindes";"";"von Dorothea Backe-Neuwald";"317920715";"2000";
"¬Die¬ historische Entwicklung des Volksschulwesens in Griechenland seit dem Fall von Konstantinopel (1453) bis Ende des neunzehnten Jahrhunderts";"";"vorgelegt von Ilias Kotsis";"317916092";"2000";
"Geschichtskurs - Deutschland seit 1945 : [Geschichte 12/13]";"3786341036";"Harald Schneider";"564182702";"2000";
"Übersetzungen Deutsch-Englisch : ... Schuljahr. - 9/10.";"3786320144";"";"1158059701";"2000";
"Übersetzungen Deutsch-Englisch : ... Schuljahr. - 8.";"3786320136";"";"1158059779";"2000";
"Projektunterricht und das Fach Geographie und Wirtschaftskunde : theoretische Grundlagen und Anregungen für die Projektarbeit in der Sekundarstufe I und II";"390083024X";"von Christian Fridrich. [Institut für Geographie der Universität Wien]";"1158060955";"2000";
"Philosophische Reise : unterwegs mit Kindern auf der Suche nach Lebensfreude und Sinn";"9783451048715";"Eva Zoller Morf";"318299097";"2000";
"Zentrale Klassenarbeit Baden-Württemberg Mathematik ab 2001";"378633031X";"Steffen Beuthan";"1614115478";"2000";
"Religion : ... Schuljahr. - 8. Autor: Edgar Schöbel";"";"Edgar Schöbel";"1158187661";"2000";
"[¬The¬ words] ¬The¬ words of Gandhi";"9781557044686";"selected and introd. by Richard Attenborough";"1609340884";"2000";
"Handbook of adult and continuing education";"0-7879-4998-1";"Arthur Wilson ..., ed.";"320803473";"2000";
"Amerika : ein Porträt in Porträts";"9783518396506";"Jordan Mejias. Mit Fotogr. von Abe Frajndlich...";"321356640";"2000";
"Langenscheidts Schulwörterbuch Französisch : Französisch-Deutsch, Deutsch-Französisch ; [neu mit Info-Fenstern ; leichter lesen, schneller finden ; neu Stichwörter in Blau]";"3468132158";"Wolfgang Löffler Bearbeiter/in ; Michel Mercier";"320788229";"2000";
"Angewandte Diabetologie";"3895994863";"[Christoph Rosak ...]";"314715835";"2000";
"¬Les¬ musiques actuelles á l'école : du negro-spiritual au rap";"2-210-71979-8";"B. Parmentier-Bernage";"1614284938";"2000";
"¬Die¬ Kunst, glücklich zu sein : dargestellt in fünfzig Lebensregeln";"3406421695";"Arthur Schopenhauer. Hrsg. von Franco Volpi";"319621960";"2000";
"Kleiner Clown, was nun?";"3806749221";"Jacques Duquennoy. [Aus dem Franz. von Edmund Jacoby]";"316268488";"2000";
"Paul Celan : Poetik der Fremdheit";"";"Jean Bollack. Aus dem Franz. von Werner Wögerbauer";"1158376839";"2000";
"Klausur- und Abiturtraining Physik. - 1. Kinematik, Dynamik, Kreisbewegung und Gravitation, Schwingungen und Wellen";"3761410824";"";"1158378475";"2000";
"Klausur- und Abiturtraining Physik. - 2. Elektrizitätslehre, Optik, Atomphysik, Relativitätstheorie";"3-7614-1083-2";"";"1158378556";"2000";
"Klausur- und Abiturtraining Deutsch. - 4. Einführung in die Lyrik";"3761416210";"";"1158378661";"2000";
"Klausur- und Abiturtraining Biologie. - 2. Genetik, Evolution, Nerven-, Sinnes- und Hormonphysiologie, Verhaltensbiologie";"3761410905";"";"1158393601";"2000";
"Klausur- und Abiturtraining Biologie. - 3. Genetik";"3761415753";"";"1158393660";"2000";
"Klausur- und Abiturtraining Biologie. - 4. Evolution";"3761414285";"";"1158393733";"2000";
"Lieblingsrezepte für Kinder : [mit den neuesten Erkenntnissen zu allen Fragen der Kinderernährung]";"3774222118";"Text: Dagmar v. Cramm. Rezeptfotos: Reiner Schmitz. [Red.: Stephanie v. Werz-Kovacs]";"321822978";"2000";
"Ausserschulische Lernorte im Biologieunterricht der Realschule : Untersuchungen zu kognitiven und affektiven Aspekten am Beispiel des ausserschulischen Lernortes "Lehrbienenstand"";"3934389953";"Udo Hampl";"161447687X";"2000";
"Ketchup on your cornflakes?";"0439013607";"by Nick Sharratt";"1614533059";"2000";
"¬The¬ impact of New Labour";"0-333-73991-4";"edited by Gerald R. Taylor";"1614535353";"2000";
"Familien- und Kindergarten-Interaktionstest : (FIT-KIT)";"";"von Dietmar Sturzbecher und Ronald Freytag";"1614535426";"2000";
"L'identité de la France";"2082125408";"Fernand Braudel";"321489527";"2000";
"¬Les¬ Judaïsmes";"2070413047";"Jocelyne Lenglet-Ajchenbaum et Yves Marc Ajchenbaum";"1614545537";"2000";
"Ubu Roi";"2-07-041498-1";"Alfred Jarry. Lecture accompagnée par Isabelle Schlichting-Pierron";"1614566208";"2000";
"Cinq sketches à jouer à deux";"2844221661";"Jean Larriaga";"161456647X";"2000";
"Entrés en résistance : Isère; des hommes et des femmes dans la résistance";"2706108908";"Michèle Gabert";"1614567182";"2000";
"Jean-Marie Gustave Le Clézio, Désert";"2-84291-580-1";"Corinne François";"1614568332";"2000";
"Alfred Jarry, Ubu roi";"2-84291-581-X";"Aurélie Gendrat";"161456843X";"2000";
"¬Les¬ écrivains francophones du Maghreb";"2729802290";"Mariannick Schöpfel";"488870208";"2000";
"Gustave Flaubert, L'éducation sentimentale";"2842915771";"Bertrand Darbeau";"1614568774";"2000";
"¬Le¬ Vian";"2-7404-1046-8";"Textes de Boris Vian. Images de Baldo";"1614569223";"2000";
"30 questions de grammaire française";"2091911208";"Florence Mercier-Leca";"1614569231";"2000";
"¬Le¬ surréalisme";"2091821802";"Florence Ferran";"1158591578";"2000";
"Honoré de Balzac, La peau de chagrin";"2-84291-578-X";"Michel Pougeoise";"1614570345";"2000";
"¬Les¬ CV qui marchent";"2-87691-575-8";"Pierre-Eric Fleury";"1614570639";"2000";
"¬L'¬ éveil musical : un pédagogie évolutive";"2-7384-9363-7";"Cristina Agosti-Gherban";"1614571295";"2000";
"Enseignant et comédien, un même métier?";"2-7101-1446-1";"Edmée Runtz-Christian";"161457152X";"2000";
"Journal d'un prof de banlieue";"2-08-067903-1";"Jean-François Mondot";"1614571562";"2000";
"¬L'¬ hypocrisie scolaire : pour un collège enfin démocratique";"2020403935";"François Dubet; Marie Duru-Bellat";"1614576548";"2000";
"Jacques Prévert, Paroles : (1945-1947)";"2-218-73351-X";"Arnaud Laster";"1614576653";"2000";
"Trenet illustré";"2-226-08990-X";"illustré par Dupuy-Berberian";"1614577323";"2000";
"¬Les¬ pas perdus";"2-84260-038-X";"Denise Bonal";"1614577803";"2000";
"Mensch und Politik : Gemeinschaftskunde für Gymnasien. - 10/11, Lehrerband. Anregungen, Lösungen, Arbeitsblätter";"3507108135";"";"1158653603";"2000";
"¬Der¬ unsichtbare Junge";"3794145321";"Harry Mazer. Aus dem amerikan. Engl. von Cornelia Krutz-Arnold";"314717676";"2000";
"¬Ein¬ Apfel für den Weihnachtsmann";"3407792662";"Hildegard Müller";"320345106";"2000";
"Zack bumm!";"3-7026-5722-3";"Heinz Janisch; Helga Bansch";"1614640440";"2000";
"Pozor";"3907588169";"erzählt von Anne Maar. Ill. von Bernd Mölck-Tassel, Bernd";"320348342";"2000";
"Jo-Jo - Sprachbuch. - 3, Handbuch fur Lehrerinnen und Lehrer. mit Kopiervorlagen";"3464033236";"";"1158686943";"2000";
"Saint-Exupéry : le sens d'une vie";"2862747874";"sous la dir. d'Alain Cadix";"1614659958";"2000";
"Quoi de neuf sur la guerre?";"2070414957";"Robert Bober. Lecture accompagnée par Jean Bardet";"1614670692";"2000";
"Étude sur Ionesco, Le roi se meurt : [épreuves de français]";"2-7298-0010-7";"Christine Vulliard";"1614670781";"2000";
"¬Les¬ particules élémentaires";"2290303054";"Michel Houellebecq";"1614671583";"2000";
"Histoire politique de la France depuis 1945";"2200251815";"Jean-Jacques Becker";"161467177X";"2000";
"¬La¬ vidéo à la demande : pour l'apprentissage des langues";"2738491170";"Florent Pasquier ; Préface de Geneniève Jacquinot-Delaunay";"321550064";"2000";
"¬L'¬ accent grave, l'accent aigu, Jean Tardieu";"2-7352-1524-5";"par Françoise Weck";"1614672210";"2000";
